,,,"Final Project, Chat App (out of 121 replies, 130 students)",,,,,,,,,,,,,,,,,,,,,,
3/13/2026 4:17:47,0,4,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,3,"I'm not really sure what tool means here. If tool refers to the SQL backend Lab for the little chat app thing that we worked with, then I think having a reference for a functional app made it easier to create an ERD and thus a schema, since we knew what we needed it to have.",Nothing really stood out as super frustrating during this project. It was pretty straight forward and my team was able to complete it relatively easily. ,"I never really thought about what the database backend for a messaging app might look like, so it showed me a real life scenario that databases might be used in.","Yes. I think at least parts of this assignment would've been better suited to be an individual project. Particularly the parts where we wrote SQL queries and reported back on the answers, since my group often found ourselves with one person writing the queries and the answers in a file while the rest of us watched and couldn't really help out much. Many of the milestones had parts where we needed to write SQL queries, and the instructions even suggested that we all complete the queries on our own and then compare. I think it might just simplify the whole process if it was an individual project.","Meeting in person is probably better for this kind of project since there are parts that don't really need more than one person's computer. More often than not, my group had moments when we had no way to help each other contribute to the final milestone. This was usually the part once we had finished the main parts of the assignment and were translating them into PDF format or SQL file format for submission. "
3/13/2026 4:20:41,2,2,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,3-4 hours,"Running a query in SQL Lab and seeing the results immediately helped me understand how JOIN operations actually connect tables in practice, watching real data merge across tables made the concept click in a way that diagrams and lectures alone never could.","The most frustrating part was forgetting to add constraints like primary keys or NOT NULL, only realizing the mistake after inserting bad data.",I didn't expect to learn how much thought goes into naming conventions and table structure. Small design decisions early on have a huge impact on how readable and maintainable queries become later.,No. Working in a group made it easier to catch each other's design mistakes early and helped me understand different approaches to schema design that I wouldn't have considered on my own.,"Start with a clear schema design before writing any queries. Small decisions like naming conventions and relationships between tables will affect everything that comes after. Collaborate with your group early, question each other's design choices, and use SQL Lab to test your assumptions often."
3/13/2026 5:00:39,0,"8(R, python, frontend)",Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Agree,3 hours,"One moment that helped me is when I use tool to compare my schema with the CSV import requirements for milestone 5. It helped me understand why column types and field lengths matter in database design. Before that, I did not really think about how small schema decisions could affect whether data can be imported successfully.","The most frustrating part was debugging queries when the results looked wrong even though the SQL seemed correct. Sometimes the issue was not the query itself, but duplicated data, schema mismatches, or imported data changing the results. That was frustrating because it took me a lot of time to figure out whether the problem was in the logic, the data, or the database structure.","One thing I learned that I did not expect was how much database work is about planning and checking details, not just writing queries. I learned that schema design, constraints, foreign keys, and data consistency are very important for making the app work correctly. I also learned that even simple SQL questions can become harder when the data changes over time. Also, I feel like SQL can do many things, I just realized that SQL has way more functions than excel.","No, because this project actually need a lot of time to do, we can also discuss the problem we faced with group mates.","I think future students should start the project early and test their database often. Sometimes small schema problems can cause many errors later. It also helps to work closely with teammates and check each other’s queries. Another useful thing is to carefully read the instructions for each milestone, because some steps depend on earlier work. Overall, staying organized and testing queries step by step makes the project much easier."
3/13/2026 12:39:59,0,8,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,2,The application page in backend labs helped by understand how sql queries cause displays on application to look. This was especially true with the query to display the most recent 50 messages on a page with the newest message at the bottom. Trying out different variations of queries showed me how to display messages in a certain order.,"It was a bit frustrating that all of our projects seemed to become very similar in the end. Originally when creating our ERDs we thought we had a lot of freedom to design features and operations we wanted to implement. However, as the milestones continued, we came to realize that we were restricted to a set of operations and that the application predetermined. This limited our creative output to try and develop our own ideas for how the system should work.",I didn't expect to learn how connect a SQL programming application (pgadmin) to a chatting application. This wasn't something I had ever done before so it was a cool experience.,"I preferred the group aspect of this project, since I got along well with my group members and we were able to collaborate and help one another through the project. It would have been very overwhelming to try and complete on my own.","Try to figure out how to best work together with your group. A lot of the programing only makes sense when done in one go sequentially, so try to figure out how to collaborate rather than just one person querying."
3/13/2026 13:27:40,1,"4 (CSE 12x, info 201)",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Likely around 5 hours,"A moment where the tools usage capacity really was made clear was in milestone four, when we were able to really see the backend in action. It really helped us see that our database/schema design had really been perfected/improved over all of our milestones, because we were able to integrate into the tool very easily. It was also cool to be able to run our queries and know to debug if we physically were unable to use the feature.","I would say that the most frustrating part was that some of the milestones’ instructions or requirements were a bit confusing or unclear, and we would have to spend a lot of time clarifying or asking questions. Additionally, two of the tables in our database had PK’s that were repeatedly getting marked down on, but we weren’t really getting any full clarification on why.","To be honest, I wasn’t really going into this project with many expectations. Maybe just the importance of considering the specific situation of the project for the database. For example, we were thinking of general messaging or social media apps where usernames can be changed, so we didn’t make username our PK originally. But in this project/scope, username cannot be changed so our reasoning was not relevant.","No, I wouldn’t have. I think having the ability to initially write queries and iterate with teammates was really great. Also, database design is something that people have varying opinions on, so being able to compare our ideas to ultimately come up with the best, most efficient and clean schema is nice. I also had a fantastic group so I may have just gotten lucky. We worked very well together and all had similar goals, even completing some out of class projects together","Make sure to ask questions and clarifications early on, whenever the milestone is released. Even if you don’t have time to do it until the last minute, read and think through it ASAP and if there is anything you are unclear on, ask during lecture, section, or office hours. "
3/13/2026 14:54:06,5,4,Neutral,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Agree,2-3,I really enjoyed using schema tool such as draw.io - I'm a visual learning so I understood how tables are related to each other and the importance of PKs/FKs. ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ‎ ,The most frustrating part for me was the actual coding. I struggled to connect to the INFO 330 database and Chat so at points I couldn't debug/verify my work.,One thing that I learned is how to translate real-life scenarios into working databases. In my previous SQL classes it was more about coding and less about theory.,"No, my group members helped me with any problems I encountered.",I would advise future students taking INFO 330 to know that it's important to properly set up your milestones as you progress. They build up on each other so if you make a mistake in the beginning it will be harder to work on your next milestones.
3/13/2026 16:13:21,4,3,Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,3,"This project helped me understand how SQL can act as a data collection tool that supports the backend code that makes an app run. In this scenario, we were only using SQL to grab the data we needed for the different operations and using user input to do so. We didn't talk about user input in this class, so getting to learn that through this tool was nice.","The most frustrating part of this project was the schema design, because it didn't end up being as open-ended and customizable as it was made out to be. I understand now that the chat app has certain expectations that are needed in order for it to run, so it makes sense why there were specific criteria to meet. However, it was described as an opportunity to be creative, and every creative decision my team made got points deducted. ","I didn't expect to learn how to apply window functions, but in milestone 5, that proved extremely helpful.","No, I enjoyed getting to split up the work and collaborate with a team so that we could each verify choices made and think with each other through difficult problems.","I would want them to know that you can't split up all of the work. You need to have meetings for every milestone to decide as a team how to move forward, and then you can delegate, but the meeting needs to happen to make sure everyone is on the same page. "
3/13/2026 16:23:27,2,3,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,3-5,"One moment when the tool helped me understand SQL was when we were working on the display messages query for the app. Once we thought we had completed the queries required, I was testing the chat, and noticed that messages would just jump to the top of the chat. This led to us changing the query for that feature, and helped me see the connection between the written queries and the behavior of the app as a result.",The most frustrating (which wasn't that frustrating) part of the project was trying to figure out when our group could all meet in spite of busy/different schedules.,I did not expect to learn about testing/verifying databases using premade data. We did this in the later milestones and it was a good experience.,"No. I'm glad I got to work in a group so that I could check my understanding with other people, and learn about new/different ways to think about and design databases.","Make sure you start the milestones sooner rather than later! Pay attention to feedback, ask questions, and talk with your group. Don't just divide up the work and disengage with each other. Your learning comes from working collaboratively."
3/13/2026 16:44:06,2,1,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Agree,3-4 hours per milestone,"I think a moment that helped me understand SQL was when the messages in the app where not showing up in pgAdmin and this helped me learn more about the logic of separating the database schema and application logic, I learned that it is not just about the relationship between tables and relationships but also about how the data will flow through the system.",I think the most frustrating part was for a brief period in milestone 4 our pgAdmin and app were not connected for some reason. The messages we would post in the app would no show up when we queried in pgAdmin.,I think realizing how everything would connect in the later milestone was fascinating. The database design we created in M1 was focused in normalization but then when we got to M5 and had to think about questions like who relies most often to who we realized how important the timestamps were and how important created_at was. ,"No, I think having a group was so great for this project we all did the coding work individually and then got to share our answers and learn from each other. ",I would want then to understand the M1 isn't just busy work it sets up a foundation for everything that comes after and that all the milestone should be taken seriously because everything connects in the end.
3/13/2026 18:40:51,3,5,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,4,"The tool helped me understand the how helpful sub queries can be. We ran into the same issues a lot of other groups ran into, where when fetching the newest messages, they were coming back in the wrong order (newest on top), so we switched the sort order, without realizing that that would just give us the 50 oldest messages. We were able to get it fixed by doing a subquery of the newest messages first, and the changing the order of those results. ","The most frustrating part was having our backend SQL answers cleared every time we re-authenticated with the app. It was super annoying to have to constantly go back and forth, copy pasting our answers again into the fields. I know there is no user account system where they can be saved, but having it saved to at least the browsers local storage would be super helpful. ",I thought indexes were only useful for retrieving very specific pieces of data. I did not know that you could have Postgres also use indexes to help optimize sorting. ,No. I really liked working with my team.,"Actually use the project. My teammates and I had some real conversations on the app and it was fun. Also, use the personal database that is setup for you to test queries, and other SQL operations before running them on your group DB. "
3/13/2026 18:49:44,2,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,About 3 hours per milestone,One thing that helped me gain a deeper understanding of SQL was when we started writing queries to analyze our chat data (such as identifying the most active users in each channel or calculating response patterns). Seeing the structure of the data in the database table made me more aware of the importance of schema design.,"The most frustrating part is the process of debugging the SQL query, because initially the query results seem to be correct, but in fact they do not meet the specified requirements. For instance, sometimes the query returns results, but the number of rows is excessive or the sorting is incorrect. It requires time to carefully analyze the problem and adjust the query logic.",One thing I didn’t expect to learn was how important it is to think about data structure before writing queries.,"No. Although coordinating schedule arrangements and merging codes can sometimes be quite challenging, teamwork helps in identifying errors and sharing ideas. Sometimes team members will point out errors that other team members have overlooked.",It helps to run queries step by step and verify intermediate results instead of trying to write the entire query at once. It is important to start testing your problem as early as possible and generate sufficient data in your application before conducting the analysis.
3/13/2026 19:15:05,I have had zero coding classes before college. The first coding class I took was freshman year and was CSE 121.,"I had taken 5 code focused classes before INFO 330. CSE 121, CSE 160, CSE 163, INFO 201, INFO 180",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Around 15 hours,The tool helped me understand SQL and schema design when I was testing out the functionality of the chat app such as joining a channel and creating one since whenever the query was not working I had to change it to match the schema design of the app so that it would work. ,"The most frustrating part was during milestone 5 when I was trying to generate data some of the SQL backend lab queries did not save and I had to keep writing it again in order to test of different users,",Something I learned through this project that I didn't expect to was understanding how seed data and generating fake data works since I always knew what it was but I never worked directly with generating fake data and seed data in sql so that was interesting to understand how important it is.,"No, I think doing this project as a group made it easier to understand everything since whenever I didn't understand something or something wasn't working I would turn to my group and we would all problem solve it together.",I would send a message of trying to stay on top of learning queries and testing schema while understanding the backend functionality of the app. I would also recommend having a strong communication with your group since a lot of the work done has to be done collaboratively. 
