Exact question,Design Principle,Descriptive Codes,Students reactions
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
The project was challenging in a productive way.,Learning process & self-efficacy,Learning process is interesting,Perceived task having instrinsic value (enjoyment)
This project felt like a real-world scenario.,Engagement & authenticity,Chat app functioning make  working through queries motivating,Perceived task has utility value (future use and applicable beyond course)
I am motivated to make the app work.,Engagement & authenticity,Seeing visualized expected output behavior is cool,Perceived task having instrinsic value (enjoyment)
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,Error message helps debug parameters,System debugging effectiveness
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Confident to debug SQL through examining output behavior,Believes ability to succeed task
Progress indicators helped my team plan work.,Tool/feedback usefulness,Perceive tool as useful and effective for debug,System debugging effectiveness
The technical setup (VPN/pgAdmin/login) was easy to navigate.,Cognitive load/friction,Setup workflow made it easy to understand sql effect on user layer,System structure helps comprehension
The technical setup (VPN/pgAdmin/login) was easy to navigate.,Cognitive load/friction,Easy navigation to technical setup (VPN/pgAdmin/login),System structure easy to navigate
I was motivated to make the app work.,Engagement & authenticity,Motivated to make the app work,Perceived task having instrinsic value (enjoyment)
I am motivated to make the app work.,Engagement & authenticity,Passing status flag and seeing green pass feels rewarding,Perceived task having instrinsic value (enjoyment)
I am motivated to make the app work.,Engagement & authenticity,Confetti visualization very satisfying,Perceived task having instrinsic value (enjoyment)
The project was challenging in a productive way.,Learning process & self-efficacy,Learning process is interesting,Perceived task having instrinsic value (enjoyment)
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
This project felt like a real-world scenario.,Engagement & authenticity,Relevant to real-world scenario,Perceived task has utility value (future use and applicable beyond course)
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Milestone 4 helps understand database integration,System structure helps comprehension
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Milestone 4 helps understand SQL debugging,System structure helps comprehension
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
This project felt like a real-world scenario.,Engagement & authenticity,Relevant to real-world scenario,Perceived task has utility value (future use and applicable beyond course)
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Confident to debug SQL through examining output behavior,Believes ability to succeed task
I can explain how constraints improve data quality.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,SQL Lab feedback helped identify bug,System debugging effectiveness
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Confident to debug SQL through examining output behavior,Believes ability to succeed task
The project activities matched what I was expected to learn in the course.,Learning process & self-efficacy,Matched course learning expectations,Perceived task has utility value (future use and applicable beyond course)
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Learned SQL through testing/debug,System structure helps comprehension
I can explain how constraints improve data quality.,Learning process & self-efficacy,Confident explaining how constraints improve data quality,Believes ability to succeed task
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,"Learned schema design, query structure, application logic",System structure helps comprehension
This project felt like a real-world scenario.,Engagement & authenticity,Milestone 4 helps understand database integration,System structure helps comprehension
This project felt like a real-world scenario.,Engagement & authenticity,Milestone 4 practiced DML through implementation,System structure helps comprehension
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,SQL Lab feedback helped identify bug,System debugging effectiveness
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
This project felt like a real-world scenario.,Engagement & authenticity,Relevant to real-world scenario,Perceived task has utility value (future use and applicable beyond course)
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
I can explain how constraints improve data quality.,Learning process & self-efficacy,Confident explaining how constraints improve data quality,Believes ability to succeed task
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Confident to debug SQL through examining output behavior,Believes ability to succeed task
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
I can explain how constraints improve data quality.,Learning process & self-efficacy,Debugging reinforced data integrity,System structure helps comprehension
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,"Learned schema design, query structure, application logic",System structure helps comprehension
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,SQL Lab feedback helped identify bug,System debugging effectiveness
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,SQL Lab feedback helped identify bug,System debugging effectiveness
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
The project was challenging in a productive way.,Learning process & self-efficacy,Perceive project as challenging but in productive way,Perceived task has value cost (negative aspects of engaging in the task)
I was motivated to make the app work.,Engagement & authenticity,Passing status flag and seeing green pass feels rewarding,Perceived task having instrinsic value (enjoyment)
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Confident to debug SQL through examining output behavior,Believes ability to succeed task
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,SQL Lab query test button help check correctness,System structure helps comprehension
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
This project felt like a real-world scenario.,Engagement & authenticity,Relevant to real-world scenario,Perceived task has utility value (future use and applicable beyond course)
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Confident to debug SQL through examining output behavior,Believes ability to succeed task
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
This project felt like a real-world scenario.,Engagement & authenticity,Relevant to real-world scenario,Perceived task has utility value (future use and applicable beyond course)
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
The project was challenging in a productive way.,Learning process & self-efficacy,Perceive project as challenging but in productive way,Perceived task has value cost (negative aspects of engaging in the task)
This project felt like a real-world scenario.,Engagement & authenticity,Relevant to real-world scenario,Perceived task has utility value (future use and applicable beyond course)
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
The project was challenging in a productive way.,Learning process & self-efficacy,Perceive project as challenging but in productive way,Perceived task has value cost (negative aspects of engaging in the task)
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
Progress indicators helped my team plan work.,Tool/feedback usefulness,Status flags helped track team progress,Team Coordination
Progress indicators helped my team plan work.,Tool/feedback usefulness,Progress Indicators helped task organization (status flag),System debugging effectiveness
The project activities matched what I was expected to learn in the course.,Learning process & self-efficacy,Milestone 4 practiced DML through implementation,System structure helps comprehension
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
The milestone pacing helped our team stay on track.,Team/coordination,Learned from teamwork/collaboration process,Team Coordination
I can explain how constraints improve data quality.,Learning process & self-efficacy,Confident explaining how constraints improve data quality,Believes ability to succeed task
I can explain how constraints improve data quality.,Learning process & self-efficacy,Debugging reinforced data integrity,System structure helps comprehension
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Confident to debug SQL through examining output behavior,Believes ability to succeed task
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
The project activities matched what I was expected to learn in the course.,Learning process & self-efficacy,Milestone 4 practiced DML through implementation,System structure helps comprehension
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,Test feature by debugging in order,System debugging effectiveness
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,"Learned schema design, query structure, application logic",System structure helps comprehension
I can explain how constraints improve data quality.,Learning process & self-efficacy,Debugging reinforced data integrity,System structure helps comprehension
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
I became more comfortable working through open-ended requirements.,Learning process & self-efficacy,Metacognitive and self-scaffolded learning,System structure helps comprehension
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,"Learned schema design, query structure, application logic",System structure helps comprehension
I can explain how constraints improve data quality.,Learning process & self-efficacy,Debugging reinforced data integrity,System structure helps comprehension
The project activities matched what I was expected to learn in the course.,Learning process & self-efficacy,Milestone 4 practiced DML through implementation,System structure helps comprehension
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
The project activities matched what I was expected to learn in the course.,Learning process & self-efficacy,Milestone 4 practiced DML through implementation,System structure helps comprehension
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
The chat app context made database work feel relevant.,Engagement & authenticity,Chat app made database work feel relevant,Perceived task has utility value (future use and applicable beyond course)
The project was challenging in a productive way.,Learning process & self-efficacy,Perceive project as challenging but in productive way,Perceived task has value cost (negative aspects of engaging in the task)
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
The project was challenging in a productive way.,Learning process & self-efficacy,Perceive project as challenging but in productive way,Perceived task has value cost (negative aspects of engaging in the task)
Learning process & self-efficacy - I can debug SQL by comparing expected vs. actual outputs.,Learning process & self-efficacy,Confident to debug SQL through examining output behavior,Believes ability to succeed task
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,Tool helped debug SQL by comparing output behavior,System debugging effectiveness
The milestone pacing helped our team stay on track.,Team/coordination,Learned from teamwork/collaboration process,Team Coordination
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,Test feature by checking chat app data add/updates in pgAdmin db,System debugging effectiveness
Tool/feedback usefulness - I can debug SQL by comparing expected vs actual outputs.,Tool/feedback usefulness,"Confident with debugging data retrieval through tools (pgAdmin, DB app)",Perceived task having instrinsic value (enjoyment)
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,SQL Lab feedback helped identify bug,System debugging effectiveness
The project was challenging in a productive way.,Learning process & self-efficacy,Perceive project as challenging but in productive way,Perceived task has value cost (negative aspects of engaging in the task)
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,Test feature by debugging in order,System debugging effectiveness
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
I could apply what I learned in this project to a different app or database scenario.,Learning process & self-efficacy,Holistic understanding of db to app interactions,Perceived task has utility value (future use and applicable beyond course)
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,SQL Lab feedback helped identify bug,System debugging effectiveness
The SQL Lab feedback helped me identify what to fix.,Tool/feedback usefulness,SQL Lab feedback helped identify bug,System debugging effectiveness
I was motivated to make the app work.,Engagement & authenticity,Debugging and seeing functional chat app was rewarding,Perceived task having instrinsic value (enjoyment)
I was motivated to make the app work.,Engagement & authenticity,Passing status flag and seeing green pass feels rewarding,Perceived task having instrinsic value (enjoyment)
I can explain how constraints improve data quality.,Learning process & self-efficacy,Confident explaining how constraints improve data quality,Believes ability to succeed task
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,137,
